,Club,Wins,Matches Played,Total Revenue (£m),Annual Wages (£m),Transfer Expenditure (£m),Transfer Income (£m),Transfer Balance (£m),Number of Players,Weekly Wages (£m),Season,Rank,Points,Goal Difference,Rank Change,Points Change,Goal Difference Change,Rank Change Category,Points Change Category,Goal Difference Change Category,European Competition,Win Percentage,Revenue per Win,Wage to Revenue Ratio,Transfer Efficiency,Transfer Net Spend Ratio,Revenue per Point,Wage per Point,Points per Player,Revenue per Player,Adjusted Rank Change,Adjusted Points Change,Risk Score,Risk Catgeogry
14,Manchester City,28.0,38.0,718.0,201.03,155.0,162.17,7.17,48.0,3.87,2023-2024,1.0,91.0,62.0,0.0,2.0,0.5510204081632653,Neutral,Positive,Positive,1.0,1.0,0.6174643770551699,0.13725490196078438,0.0,0.24539877300613497,0.6457831325301203,0.4937759336099585,1.0,1.0,0.46153846153846156,0.5384615384615384,3.9672023616078356,Low Risk
15,Manchester Utd,18.0,38.0,650.0,205.76,243.28,23.65,219.63,57.0,3.96,2023-2024,8.0,60.0,-1.0,5.0,-15.0,0.20408163265306123,Positive,Negative,Negative,0.0,0.45999999999999996,1.0,0.21568627450980393,0.5944055944055944,0.4601226993865031,1.0,1.0,0.41780821917808225,0.7220921155347385,0.8461538461538461,0.8717948717948718,47.216542059360464,Medium Risk
12,Liverpool,24.0,38.0,594.0,136.24,142.3,80.7,61.6,49.0,2.62,2023-2024,3.0,82.0,45.0,-2.0,15.0,0.8775510204081632,Negative,Positive,Positive,1.0,0.78,0.5849470222871758,0.03921568627450984,0.26573426573426573,0.3128834355828221,0.5674698795180724,0.2655601659751037,0.8424657534246576,0.7782982045277126,0.6153846153846154,0.8717948717948718,0.0,Low Risk
20,Tottenham,20.0,38.0,549.0,117.52,179.9,38.75,141.15,61.0,2.26,2023-2024,5.0,66.0,13.0,-3.0,6.0,0.6530612244897959,Negative,Positive,Positive,1.0,0.5800000000000001,0.6835951772013154,0.0,0.5104895104895105,0.41104294478527603,0.6975903614457832,0.3153526970954357,0.43835616438356173,0.5347384855581576,0.6923076923076923,0.6410256410256411,15.122340226037833,Low Risk
6,Chelsea,18.0,38.0,512.0,157.04,630.25,67.86,562.39,60.0,3.02,2023-2024,6.0,63.0,14.0,-6.0,19.0,1.0,Negative,Positive,Positive,0.0,0.45999999999999996,0.7197661673365,0.19607843137254902,0.5874125874125874,0.9263803680981596,0.674698795180723,0.6099585062240664,0.41780821917808225,0.49804839968774384,0.0,0.0,55.1102106361602,High Risk
0,Arsenal,28.0,38.0,464.0,166.04,186.4,23.8,162.6,52.0,3.19,2023-2024,2.0,89.0,62.0,0.0,5.0,0.8775510204081632,Neutral,Positive,Positive,1.0,1.0,0.28607964925100476,0.29411764705882354,0.5734265734265734,0.46625766871165647,0.3228915662650602,0.35269709543568467,0.8698630136986302,0.5284933645589383,0.46153846153846156,0.6153846153846154,12.741454965492593,Low Risk
16,Newcastle Utd,18.0,38.0,250.0,84.5,185.35,14.06,171.29,57.0,1.62,2023-2024,7.0,60.0,23.0,3.0,-11.0,0.2857142857142857,Positive,Negative,Negative,0.0,0.45999999999999996,0.18816222141030328,0.25490196078431376,0.6083916083916084,0.6748466257668712,0.19759036144578312,0.1618257261410788,0.41780821917808225,0.17486338797814205,0.6923076923076923,0.7692307692307693,69.14650066013056,High Risk
21,West Ham Utd,14.0,38.0,239.0,95.32,196.6,21.55,175.05,46.0,1.83,2023-2024,9.0,52.0,-14.0,-5.0,12.0,0.5102040816326531,Negative,Positive,Negative,0.0,0.26,0.30434782608695654,0.3725490196078432,0.5874125874125874,0.6993865030674846,0.24939759036144574,0.3360995850622407,0.4726027397260274,0.2380952380952381,0.07692307692307693,0.1794871794871795,72.54316411017099,High Risk
1,Aston Villa,20.0,38.0,212.0,117.15,100.14,54.0,46.14,52.0,2.25,2023-2024,4.0,68.0,15.0,-3.0,7.0,0.7346938775510204,Negative,Positive,Positive,1.0,0.5800000000000001,0.06795761782974058,0.6666666666666669,0.2867132867132868,0.3865030674846626,0.07108433734939762,0.2904564315352697,0.5958904109589042,0.15066354410616706,0.6923076923076923,0.6666666666666666,56.86854146616555,High Risk
4,Brighton,12.0,38.0,201.0,62.4,55.7,138.4,82.7,52.0,1.2,2023-2024,11.0,48.0,-7.0,5.0,-14.0,0.0,Positive,Negative,Negative,0.0,0.16000000000000003,0.2926561929119474,0.19607843137254902,1.0,0.0,0.20000000000000007,0.11618257261410789,0.32876712328767127,0.13427010148321625,0.8461538461538461,0.8461538461538461,56.47204125751132,High Risk
